,InvoiceNo,StockCode,Quantity,UnitPrice,CustomerID,Country,Product Type,Colour_type,Revenue,Cluster number,Year,Month,Day,DayOfWeek
29065,2603,1421,-1.0,1.45,1041,25,391,7,1.45,0,2010,12,14,2
7901,335,718,12.0,1.25,57,8,350,7,1.25,2,2010,12,5,0
44333,1455,1100,12.0,1.25,324,25,974,7,1.25,1,2011,1,5,3
7607,323,919,1.0,2.95,188,25,1421,7,2.95,2,2010,12,5,0
13248,491,245,2.0,0.65,113,25,1491,11,0.65,2,2010,12,6,1
33435,1168,959,12.0,0.85,915,25,1035,11,0.85,2,2010,12,16,4
69203,2089,1724,36.0,0.85,71,9,1123,5,0.85,0,2011,1,24,1
33585,1175,2306,24.0,0.55,673,25,2052,7,0.55,0,2010,12,16,4
12677,467,1441,2.0,2.95,1094,25,1703,7,2.95,2,2010,12,6,1
55347,1752,993,4.0,6.75,1163,25,1517,7,6.75,1,2011,1,12,3
9796,395,1522,8.0,3.75,116,14,768,7,3.75,2,2010,12,5,0
5118,256,2223,4.0,0.85,1320,25,2287,7,0.85,2,2010,12,2,4
23232,789,1537,8.0,2.95,948,25,1506,7,2.95,2,2010,12,10,5
73586,2238,1610,1.0,6.75,551,25,155,5,6.75,0,2011,1,27,4
3547,157,31,1.0,0.85,1339,25,346,7,0.85,2,2010,12,2,4
77792,3001,442,-2.0,1.65,821,25,886,1,1.65,1,2011,2,1,2
41313,1373,992,2.0,8.5,628,25,742,13,8.5,1,2010,12,22,3
47087,1522,1117,1.0,2.95,246,25,1341,7,2.95,1,2011,1,6,4
72262,2205,1207,24.0,0.55,1,11,1391,7,0.55,1,2011,1,26,3
77373,2368,396,12.0,1.25,120,17,2090,7,1.25,1,2011,1,31,1
75198,2294,402,8.0,1.69,22,0,1601,9,1.69,1,2011,1,28,5
47411,1542,848,24.0,0.29,35,9,1396,7,0.29,1,2011,1,7,5
74426,2270,2651,2.0,18.0,58,8,1679,7,18.0,0,2011,1,28,5
68362,2911,1795,-2.0,1.69,340,25,256,7,1.69,0,2011,1,23,0
14031,496,942,3.0,4.95,1343,25,640,7,4.95,2,2010,12,7,2
78875,2431,2311,2.0,3.75,1170,25,1523,11,3.75,0,2011,2,1,2
12035,442,1948,1.0,2.1,1222,25,2096,7,2.1,2,2010,12,6,1
26500,885,1290,4.0,4.95,628,25,1238,7,4.95,2,2010,12,12,0
55280,1747,582,2.0,2.55,418,25,1993,7,2.55,1,2011,1,12,3
208,22,1012,2.0,8.5,22,0,1107,7,8.5,2,2010,12,1,3
65055,1998,258,5.0,2.95,733,25,927,7,2.95,1,2011,1,20,4
24169,2569,1502,-1.0,3.75,739,25,15,7,3.75,0,2010,12,10,5
72146,2200,1227,5.0,0.85,1000,25,1899,0,0.85,1,2011,1,26,3
14328,519,2407,6.0,2.95,420,25,1022,13,2.95,2,2010,12,7,2
67629,2043,2364,2.0,1.25,868,25,178,1,1.25,0,2011,1,23,0
68720,2066,892,6.0,1.49,580,25,1984,7,1.49,1,2011,1,24,1
20645,736,1997,1.0,2.1,1027,25,1038,7,2.1,2,2010,12,9,4
54120,1714,1615,1.0,16.95,984,25,215,9,16.95,0,2011,1,12,3
16370,560,1571,2.0,39.95,1306,25,1117,7,39.95,2,2010,12,7,2
58575,1846,111,24.0,0.12,1285,25,630,7,0.12,1,2011,1,16,0
18369,642,1423,12.0,1.45,288,25,1987,7,1.45,2,2010,12,8,3
66501,2027,905,4.0,3.75,675,25,1758,11,3.75,1,2011,1,21,5
28989,953,942,6.0,4.95,939,25,640,7,4.95,2,2010,12,13,1
2252,96,2224,12.0,1.25,498,25,2284,7,1.25,2,2010,12,1,3
4030,186,816,1.0,0.42,1321,25,361,7,0.42,2,2010,12,2,4
7398,314,921,1.0,2.95,747,25,1419,7,2.95,2,2010,12,3,5
68812,2071,1413,2.0,8.5,56,9,398,7,8.5,0,2011,1,24,1
67972,2050,2307,1.0,0.55,234,25,2019,7,0.55,0,2011,1,23,0
33991,1208,1495,4.0,3.95,432,25,1943,7,3.95,0,2010,12,16,4
54229,1721,1150,36.0,0.85,995,25,2030,11,0.85,1,2011,1,12,3
16309,556,1014,1.0,8.5,1220,25,621,11,8.5,2,2010,12,7,2
20210,718,2024,6.0,7.95,484,25,2232,13,7.95,2,2010,12,9,4
6998,297,1430,9.0,5.95,1285,25,602,7,5.95,2,2010,12,3,5
68298,2059,2473,3.0,0.85,527,25,1948,7,0.85,0,2011,1,23,0
14465,524,1024,4.0,3.75,76,9,1269,11,3.75,2,2010,12,7,2
75732,2318,358,1.0,2.1,1020,25,864,7,2.1,1,2011,1,30,0
11861,435,1518,1.0,2.1,630,25,1640,7,2.1,2,2010,12,6,1
18028,621,1178,3.0,1.65,623,25,1209,7,1.65,2,2010,12,8,3
59883,1900,302,1.0,0.85,1379,25,1744,11,0.85,1,2011,1,17,1
20639,736,1577,1.0,2.95,1027,25,1816,7,2.95,2,2010,12,9,4
32233,1098,145,10.0,0.85,766,25,1732,11,0.85,1,2010,12,15,3
1147,68,1630,2.0,2.1,741,25,969,7,2.1,2,2010,12,1,3
28846,944,2347,24.0,1.25,662,25,1312,7,1.25,0,2010,12,13,1
20307,721,484,3.0,2.95,865,25,1836,7,2.95,2,2010,12,9,4
31555,1061,916,24.0,2.95,274,25,1424,7,2.95,2,2010,12,15,3
4515,213,300,6.0,1.06,1288,25,2134,7,1.06,2,2010,12,2,4
17947,617,141,2.0,1.25,1158,25,1991,7,1.25,2,2010,12,8,3
21602,748,1468,1.0,1.45,1104,22,2221,7,1.45,2,2010,12,9,4
27316,898,2046,24.0,3.39,450,25,974,11,3.39,2,2010,12,13,1
68980,2078,1411,4.0,9.95,1293,25,399,7,9.95,0,2011,1,24,1
1432,82,2395,30.0,1.95,940,25,72,7,1.95,2,2010,12,1,3
59752,1893,1547,2.0,9.95,538,25,2016,7,9.95,0,2011,1,17,1
7113,302,16,1.0,5.95,1134,25,1441,0,5.95,2,2010,12,3,5
11595,422,1357,1.0,0.85,828,25,1960,7,0.85,2,2010,12,6,1
72289,2206,1441,6.0,2.95,64,13,1703,7,2.95,0,2011,1,26,3
17904,617,991,1.0,8.5,1158,25,2229,13,8.5,2,2010,12,8,3
63569,1955,275,1.0,0.95,1104,22,347,7,0.95,1,2011,1,19,3
32248,1098,943,24.0,4.25,766,25,425,7,4.25,2,2010,12,15,3
66296,2017,1537,24.0,2.55,400,25,1506,7,2.55,0,2011,1,21,5
4697,224,782,6.0,1.25,1284,25,1076,7,1.25,2,2010,12,2,4
44527,1464,1401,1.0,8.5,857,25,1110,7,8.5,0,2011,1,5,3
3139,125,2046,6.0,3.39,1288,25,974,11,3.39,2,2010,12,2,4
41441,1380,856,12.0,0.85,8,2,1381,7,0.85,1,2010,12,22,3
29000,954,1509,1.0,1.65,506,25,1776,7,1.65,2,2010,12,13,1
63530,1954,2312,2.0,3.75,692,25,1521,1,3.75,0,2011,1,19,3
8215,347,1677,1.0,4.95,1273,25,499,11,4.95,2,2010,12,5,0
28575,931,1604,4.0,4.65,244,25,2209,7,4.65,2,2010,12,13,1
4307,2457,1081,-3.0,2.95,1208,25,761,7,2.95,1,2010,12,2,4
49875,1611,1433,3.0,1.95,1266,25,1214,7,1.95,0,2011,1,9,0
31749,1074,892,2.0,1.49,616,25,1984,7,1.49,2,2010,12,15,3
50990,1637,1478,25.0,0.42,695,25,2275,5,0.42,0,2011,1,10,1
718,47,1422,12.0,1.45,331,25,1002,7,1.45,2,2010,12,1,3
6719,291,235,10.0,1.25,603,6,107,7,1.25,2,2010,12,3,5
78070,2401,2310,2.0,3.75,1301,25,1521,5,3.75,0,2011,2,1,2
75746,2318,1670,2.0,1.65,1020,25,1240,7,1.65,0,2011,1,30,0
59484,1878,1216,1.0,3.75,527,25,2204,3,3.75,1,2011,1,17,1
19806,692,1725,6.0,2.1,70,9,1524,7,2.1,2,2010,12,9,4
3375,144,1223,6.0,1.95,760,25,624,5,1.95,2,2010,12,2,4
31671,1068,351,12.0,1.69,270,25,125,7,1.69,1,2010,12,15,3
70838,2143,795,12.0,1.25,228,25,1827,7,1.25,1,2011,1,25,2
71671,2180,1521,2.0,3.75,389,25,767,7,3.75,0,2011,1,26,3
71014,2146,146,1.0,1.65,896,25,1207,11,1.65,1,2011,1,25,2
76118,2329,1600,2.0,10.75,356,25,221,7,10.75,0,2011,1,30,0
62677,1932,634,4.0,1.65,481,25,914,7,1.65,1,2011,1,18,2
28764,941,69,6.0,0.3,1325,25,1327,7,0.3,1,2010,12,13,1
68202,2055,157,1.0,2.1,325,25,1655,1,2.1,1,2011,1,23,0
5197,257,1521,1.0,3.75,520,25,767,7,3.75,2,2010,12,2,4
64791,1986,1668,6.0,2.95,561,25,284,7,2.95,0,2011,1,20,4
25090,841,352,96.0,1.69,340,25,522,7,1.69,2,2010,12,10,5
32978,1149,1686,12.0,0.85,144,25,822,7,0.85,0,2010,12,16,4
44993,1477,480,6.0,1.65,727,25,292,7,1.65,1,2011,1,5,3
18069,622,2350,1.0,4.25,999,25,1313,7,4.25,2,2010,12,8,3
20328,722,1287,4.0,5.95,1186,25,1509,7,5.95,2,2010,12,9,4
54369,1727,2017,2.0,3.75,1285,25,2190,12,3.75,0,2011,1,12,3
20335,723,1182,3.0,1.95,954,25,67,9,1.95,2,2010,12,9,4
69113,2085,985,8.0,2.95,733,25,1005,7,2.95,1,2011,1,24,1
72391,2210,2296,12.0,0.85,329,25,1050,7,0.85,0,2011,1,26,3
20514,2537,1499,-4.0,3.75,425,25,11,11,3.75,0,2010,12,9,4
28489,926,2242,10.0,1.69,1131,25,139,7,1.69,0,2010,12,13,1
61601,1908,892,48.0,1.25,3,20,1984,7,1.25,1,2011,1,18,2
54765,1742,782,12.0,1.25,79,8,1076,7,1.25,1,2011,1,12,3
78230,2407,1602,6.0,2.1,1129,25,967,7,2.1,0,2011,2,1,2
23983,827,915,5.0,1.65,541,25,1780,7,1.65,2,2010,12,10,5
72844,2219,1228,10.0,1.95,705,25,81,7,1.95,1,2011,1,27,4
78918,2436,1407,12.0,1.95,90,8,1212,7,1.95,0,2011,2,1,2
58326,1829,574,12.0,4.25,1036,25,1267,7,4.25,1,2011,1,14,5
19414,668,1573,12.0,1.25,382,25,661,1,1.25,2,2010,12,8,3
57217,1802,2295,12.0,0.95,766,25,1050,7,0.95,0,2011,1,14,5
34588,1245,789,24.0,0.19,99,9,250,7,0.19,1,2010,12,17,5
73039,2225,1101,12.0,1.65,484,25,974,7,1.65,1,2011,1,27,4
61555,1905,1902,10.0,6.75,1081,25,643,7,6.75,0,2011,1,18,2
40112,1359,1111,6.0,1.95,1122,25,1884,12,1.95,1,2010,12,21,2
19675,682,659,12.0,0.85,482,25,1230,7,0.85,2,2010,12,9,4
39484,1339,197,2.0,2.55,726,25,917,7,2.55,1,2010,12,20,1
12213,448,952,1.0,5.95,217,25,159,7,5.95,2,2010,12,6,1
76825,2348,302,12.0,0.85,1367,25,1744,11,0.85,1,2011,1,31,1
64597,1978,1274,3.0,1.65,576,25,1921,7,1.65,0,2011,1,20,4
9653,386,590,1.0,2.95,527,25,1034,9,2.95,2,2010,12,5,0
45702,1498,146,30.0,1.65,446,25,1207,11,1.65,1,2011,1,6,4
4674,222,1394,1.0,4.95,755,25,1940,7,4.95,2,2010,12,2,4
76051,2328,2025,1.0,2.95,501,25,2249,13,2.95,0,2011,1,30,0
14579,530,1816,8.0,1.45,279,25,248,7,1.45,2,2010,12,7,2
5026,248,847,12.0,0.29,471,25,1388,11,0.29,2,2010,12,2,4
41167,1366,829,1.0,2.95,113,25,1747,11,2.95,1,2010,12,21,2
2458,116,549,2.0,3.45,527,25,947,6,3.45,2,2010,12,1,3
56138,1774,1987,12.0,0.85,928,25,2034,7,0.85,0,2011,1,13,4
28620,934,1558,2.0,9.95,692,25,220,7,9.95,2,2010,12,13,1
45829,1502,158,1.0,2.1,1233,25,1765,11,2.1,1,2011,1,6,4
70426,2125,1233,1.0,7.95,842,25,949,7,7.95,1,2011,1,25,2
23992,827,1520,2.0,2.1,541,25,1639,7,2.1,2,2010,12,10,5
55797,1755,1890,3.0,5.45,1094,25,164,1,5.45,0,2011,1,13,4
31002,1031,787,12.0,0.65,351,25,1907,7,0.65,2,2010,12,14,2
439,40,813,12.0,1.25,456,25,972,11,1.25,2,2010,12,1,3
9267,374,2034,1.0,2.1,720,25,1715,7,2.1,2,2010,12,5,0
25605,855,1722,1.0,1.45,416,25,1124,7,1.45,2,2010,12,12,0
37498,1281,1628,1.0,4.25,1285,25,979,7,4.25,0,2010,12,19,0
69161,2089,1483,25.0,0.42,71,9,2273,7,0.42,0,2011,1,24,1
44889,1475,489,24.0,1.25,629,25,980,7,1.25,1,2011,1,5,3
42755,1413,646,1.0,1.25,1285,25,661,1,1.25,1,2011,1,4,2
58230,1825,378,5.0,1.65,1319,25,1985,7,1.65,1,2011,1,14,5
14317,517,1331,12.0,1.65,1080,25,1631,7,1.65,2,2010,12,7,2
34473,1236,1687,36.0,0.85,29,9,824,7,0.85,0,2010,12,17,5
12147,447,821,1.0,1.95,1292,25,66,7,1.95,2,2010,12,6,1
44914,2770,1760,-1.0,8.95,191,25,196,7,8.95,0,2011,1,5,3
76330,2332,550,3.0,4.95,1135,25,1046,7,4.95,1,2011,1,31,1
17304,589,1721,8.0,4.25,601,25,1125,7,4.25,2,2010,12,8,3
78559,2422,28,10.0,0.85,692,25,2008,7,0.85,1,2011,2,1,2
33995,1208,350,6.0,2.95,432,25,1075,7,2.95,1,2010,12,16,4
71913,2189,1179,10.0,1.65,1261,25,1210,7,1.65,1,2011,1,26,3
74480,2271,1528,72.0,1.25,1178,23,54,14,1.25,0,2011,1,28,5
29129,962,123,2.0,7.95,890,25,653,11,7.95,1,2010,12,14,2
3409,146,1726,6.0,2.1,269,25,153,7,2.1,2,2010,12,2,4
56292,1782,1611,2.0,8.5,430,25,2151,3,8.5,0,2011,1,13,4
28194,919,1590,2.0,5.95,518,25,550,3,5.95,2,2010,12,13,1
1195,70,1705,1.0,8.5,1307,25,449,7,8.5,2,2010,12,1,3
12095,444,1349,13.0,3.75,399,25,760,7,3.75,2,2010,12,6,1
9236,374,1617,1.0,0.85,720,25,738,7,0.85,2,2010,12,5,0
30270,1010,1984,4.0,1.25,1028,25,2108,7,1.25,0,2010,12,14,2
1391,79,703,6.0,2.95,653,25,1967,7,2.95,2,2010,12,1,3
12073,443,2437,12.0,2.1,638,25,960,7,2.1,2,2010,12,6,1
14908,546,966,1.0,4.95,113,25,1759,7,4.95,2,2010,12,7,2
31769,1074,1426,4.0,1.45,616,25,1619,7,1.45,2,2010,12,15,3
73837,2253,442,6.0,1.65,1031,25,886,1,1.65,1,2011,1,27,4
63553,1955,2355,2.0,1.65,1104,22,1569,9,1.65,0,2011,1,19,3
31351,1050,943,2.0,4.95,1160,25,425,7,4.95,2,2010,12,15,3
5350,267,1404,1.0,8.5,1055,25,1289,7,8.5,2,2010,12,3,5
7877,334,1409,5.0,2.1,584,25,970,11,2.1,2,2010,12,5,0
20162,715,165,1.0,3.75,599,25,1410,1,3.75,2,2010,12,9,4
67703,2044,1564,2.0,9.95,313,25,1507,7,9.95,0,2011,1,23,0
73636,2240,497,12.0,0.42,171,25,1688,11,0.42,1,2011,1,27,4
47226,1528,605,12.0,1.25,227,25,1168,7,1.25,1,2011,1,6,4
34615,1248,1036,6.0,0.85,1065,25,1200,13,0.85,1,2010,12,17,5
25661,857,602,1.0,1.25,1107,25,1733,7,1.25,2,2010,12,12,0
30729,1030,2216,16.0,0.85,715,25,584,7,0.85,0,2010,12,14,2
12428,454,1312,1.0,0.42,825,25,1915,7,0.42,2,2010,12,6,1
17453,2515,2379,-1.0,7.95,999,25,548,3,7.95,0,2010,12,8,3
12344,451,1630,1.0,2.1,1139,25,969,7,2.1,2,2010,12,6,1
42484,1400,1175,5.0,2.1,252,25,69,7,2.1,1,2011,1,4,2
10135,401,23,12.0,0.12,113,25,1823,7,0.12,2,2010,12,5,0
73886,2254,2307,1.0,0.55,1363,25,2019,7,0.55,0,2011,1,27,4
71996,2194,2498,48.0,0.29,1302,25,1130,7,0.29,0,2011,1,26,3
32057,1089,1674,6.0,2.95,208,25,1426,7,2.95,2,2010,12,15,3
51683,1651,1213,4.0,12.75,333,25,1710,7,12.75,1,2011,1,10,1
27346,900,1240,1.0,3.35,580,25,1857,1,3.35,2,2010,12,13,1
68979,2078,2085,5.0,1.25,1293,25,992,7,1.25,0,2011,1,24,1
48585,1562,2189,8.0,0.65,37,22,903,7,0.65,0,2011,1,7,5
7564,321,352,2.0,1.95,626,25,522,7,1.95,2,2010,12,5,0
72769,2216,1725,2.0,2.1,822,25,1524,7,2.1,0,2011,1,26,3
32905,1145,184,6.0,5.49,1343,25,287,7,5.49,1,2010,12,16,4
20416,727,2404,8.0,1.65,1339,25,1625,11,1.65,2,2010,12,9,4
25876,863,250,3.0,0.85,1167,25,1493,7,0.85,2,2010,12,12,0
25104,841,1877,100.0,1.06,340,25,2039,7,1.06,2,2010,12,10,5
62673,1932,275,2.0,0.95,481,25,347,7,0.95,1,2011,1,18,2
48664,1563,875,12.0,0.42,760,25,1785,7,0.42,1,2011,1,7,5
25313,850,2383,2.0,2.55,581,25,369,7,2.55,0,2010,12,12,0
11997,440,919,12.0,2.95,586,25,1421,7,2.95,2,2010,12,6,1
15041,554,919,18.0,2.95,913,25,1421,7,2.95,2,2010,12,7,2
71952,2191,1903,3.0,7.95,612,25,2106,7,7.95,0,2011,1,26,3
75327,2301,1909,1.0,7.95,1154,25,974,7,7.95,0,2011,1,28,5
78376,2413,915,10.0,1.65,935,25,1780,7,1.65,1,2011,2,1,2
33959,1204,145,10.0,0.85,1067,25,1732,11,0.85,1,2010,12,16,4
45718,1498,2021,72.0,2.1,446,25,1515,13,2.1,0,2011,1,6,4
8230,348,1674,1.0,2.95,786,25,1426,7,2.95,2,2010,12,5,0
28121,917,1141,32.0,0.65,1155,25,597,7,0.65,2,2010,12,13,1
37875,1291,1733,12.0,1.65,770,25,411,7,1.65,0,2010,12,19,0
9055,368,1335,3.0,1.65,934,25,1629,7,1.65,2,2010,12,5,0
72110,2200,362,6.0,2.95,1000,25,1030,7,2.95,1,2011,1,26,3
58385,1833,459,1.0,1.25,929,25,2071,7,1.25,1,2011,1,16,0
17893,617,374,1.0,2.55,1158,25,1081,7,2.55,2,2010,12,8,3
64138,1961,1138,2.0,1.65,1226,25,626,7,1.65,1,2011,1,19,3
66012,2008,1390,96.0,0.64,536,17,1392,7,0.64,0,2011,1,21,5
70903,2145,1213,32.0,10.95,97,9,1710,7,10.95,1,2011,1,25,2
78574,2422,798,2.0,0.65,692,25,841,7,0.65,1,2011,2,1,2
14656,533,1182,5.0,1.95,841,25,67,9,1.95,2,2010,12,7,2
11438,413,1106,6.0,2.55,567,25,504,7,2.55,2,2010,12,6,1
30282,1011,1517,6.0,2.1,200,25,1638,7,2.1,2,2010,12,14,2
32313,1099,1704,1.0,4.25,59,8,757,7,4.25,0,2010,12,15,3
4922,238,1215,2.0,4.95,1266,25,716,3,4.95,2,2010,12,2,4
49723,1604,524,2.0,1.65,1275,25,576,7,1.65,1,2011,1,9,0
1253,72,1340,24.0,1.65,23,18,1821,7,1.65,2,2010,12,1,3
12904,474,932,4.0,1.25,1118,25,314,7,1.25,2,2010,12,6,1
4508,212,2458,96.0,1.25,635,25,1153,7,1.25,2,2010,12,2,4
32514,1115,2189,32.0,0.65,1078,25,903,7,0.65,0,2010,12,16,4
27288,894,1604,16.0,4.65,52,22,2209,7,4.65,2,2010,12,13,1
12760,470,803,1.0,2.1,704,25,1091,7,2.1,2,2010,12,6,1
51194,1646,2268,48.0,0.42,392,25,802,7,0.42,0,2011,1,10,1
39655,1342,1905,4.0,7.95,1123,25,645,7,7.95,0,2010,12,21,2
44956,1477,1265,20.0,1.25,727,25,146,7,1.25,0,2011,1,5,3
71270,2152,1692,2.0,5.95,1066,25,848,14,5.95,0,2011,1,25,2
19703,685,123,2.0,7.95,775,25,653,11,7.95,2,2010,12,9,4
54396,1730,1245,18.0,4.25,836,25,1917,7,4.25,1,2011,1,12,3
22415,772,941,1.0,2.55,552,25,136,7,2.55,2,2010,12,9,4
72269,2205,961,12.0,0.42,1,11,1282,11,0.42,1,2011,1,26,3
45430,1484,1722,12.0,1.45,1383,25,1124,7,1.45,0,2011,1,6,4
69725,2100,1574,6.0,2.95,17,22,248,7,2.95,0,2011,1,24,1
7511,319,1401,1.0,8.5,349,25,1110,7,8.5,2,2010,12,5,0
49827,1609,2247,2.0,2.1,616,25,798,14,2.1,0,2011,1,9,0
54723,1742,1187,12.0,0.85,79,8,1439,7,0.85,1,2011,1,12,3
11952,438,485,2.0,0.65,1052,25,1364,7,0.65,2,2010,12,6,1
33605,1177,139,10.0,1.95,291,25,65,7,1.95,1,2010,12,16,4
45024,1477,1150,1.0,0.85,727,25,2030,11,0.85,1,2011,1,5,3
39734,1346,1174,2.0,2.1,1320,25,2202,7,2.1,1,2010,12,21,2
36309,1267,1270,1.0,2.95,754,25,866,11,2.95,2,2010,12,17,5
45599,1492,589,6.0,2.95,274,25,1034,11,2.95,1,2011,1,6,4
44882,1475,1099,24.0,1.45,629,25,395,5,1.45,1,2011,1,5,3
8587,356,2650,1.0,0.42,113,25,0,7,0.42,2,2010,12,5,0
42642,1407,1084,1.0,2.55,527,25,2203,7,2.55,1,2011,1,4,2
67699,2044,912,5.0,1.65,313,25,1772,7,1.65,1,2011,1,23,0
9453,380,2395,1.0,1.95,503,25,72,7,1.95,2,2010,12,5,0
21622,749,1891,6.0,5.45,661,25,1537,9,5.45,2,2010,12,9,4
29937,997,2282,12.0,0.65,1112,25,515,7,0.65,0,2010,12,14,2
69852,2106,1267,3.0,1.25,409,25,2049,11,1.25,1,2011,1,24,1
59714,1893,1070,5.0,0.85,538,25,746,7,0.85,1,2011,1,17,1
44925,2770,1602,-1.0,1.85,191,25,967,7,1.85,0,2011,1,5,3
39560,1340,1213,4.0,12.75,295,25,1710,7,12.75,1,2010,12,20,1
77672,2388,1027,12.0,1.65,603,6,2243,7,1.65,1,2011,2,1,2
38946,2719,1018,-2.0,0.85,603,6,1066,7,0.85,1,2010,12,20,1
57444,1815,824,100.0,1.65,536,17,1974,7,1.65,1,2011,1,14,5
55405,1754,854,12.0,0.65,193,25,1380,7,0.65,1,2011,1,13,4
21805,761,2257,2.0,5.95,667,25,965,1,5.95,2,2010,12,9,4
68951,2076,1493,1.0,4.95,627,25,277,7,4.95,0,2011,1,24,1
19005,644,1018,5.0,0.85,757,25,1066,7,0.85,2,2010,12,8,3
8888,361,1519,1.0,2.1,803,25,1637,7,2.1,2,2010,12,5,0
29260,970,1101,12.0,1.65,1326,25,974,7,1.65,2,2010,12,14,2
19237,663,1155,10.0,0.85,1005,25,374,7,0.85,2,2010,12,8,3
9233,374,1373,2.0,0.85,720,25,445,7,0.85,2,2010,12,5,0
74640,2280,1012,2.0,8.5,955,25,1107,7,8.5,1,2011,1,28,5
55282,1747,1972,4.0,4.25,418,25,2119,7,4.25,0,2011,1,12,3
47864,1547,1585,12.0,0.42,270,25,332,7,0.42,0,2011,1,7,5
54605,1736,1522,4.0,3.75,1155,25,768,7,3.75,0,2011,1,12,3
49327,1589,1203,1.0,2.95,1105,25,1852,7,2.95,1,2011,1,9,0
28228,919,781,12.0,1.25,518,25,1317,7,1.25,2,2010,12,13,1
20657,736,311,6.0,1.25,1027,25,2073,7,1.25,2,2010,12,9,4
52486,1684,1074,12.0,0.65,1164,25,683,7,0.65,1,2011,1,11,2
19441,2533,295,-12.0,1.25,902,25,2161,11,1.25,1,2010,12,8,3
56811,1793,586,6.0,2.55,60,13,1986,7,2.55,1,2011,1,13,4
11677,427,842,6.0,1.45,627,25,1833,7,1.45,2,2010,12,6,1
56066,1772,360,2.0,2.1,612,25,1497,7,2.1,1,2011,1,13,4
29472,978,116,2.0,1.25,627,25,1648,1,1.25,1,2010,12,14,2
4304,198,1692,2.0,5.95,1024,25,848,14,5.95,2,2010,12,2,4
72143,2200,1227,1.0,0.85,1000,25,1899,0,0.85,1,2011,1,26,3
42345,1396,965,3.0,4.95,603,6,1522,7,4.95,1,2010,12,23,4
32250,1099,298,1.0,1.25,59,8,2137,7,1.25,1,2010,12,15,3
54480,1732,1628,2.0,4.25,523,25,979,7,4.25,0,2011,1,12,3
33127,1157,1730,24.0,1.45,712,25,1078,7,1.45,0,2010,12,16,4
64159,1961,1281,2.0,2.95,1226,25,1804,7,2.95,0,2011,1,19,3
11863,435,1519,1.0,2.1,630,25,1637,7,2.1,2,2010,12,6,1
45130,1479,881,25.0,0.42,688,25,1941,7,0.42,1,2011,1,5,3
32792,1142,1550,4.0,4.25,1013,25,1356,7,4.25,2,2010,12,16,4
69003,2079,2086,12.0,1.25,462,25,230,7,1.25,0,2011,1,24,1
72171,2200,2054,9.0,1.65,1000,25,1036,9,1.65,0,2011,1,26,3
12528,458,748,2.0,0.85,997,25,923,7,0.85,2,2010,12,6,1
44669,1472,1952,9.0,1.45,1021,25,428,7,1.45,0,2011,1,5,3
1004,60,852,12.0,0.29,558,25,999,7,0.29,2,2010,12,1,3
17374,596,1109,6.0,2.55,866,25,507,1,2.55,2,2010,12,8,3
74564,2278,1743,24.0,1.25,410,25,702,7,1.25,0,2011,1,28,5
39641,1342,2407,6.0,2.95,1123,25,1022,13,2.95,0,2010,12,21,2
50856,1633,1307,2.0,0.85,1278,25,404,9,0.85,0,2011,1,10,1
26230,879,535,10.0,2.5,849,25,78,7,2.5,2,2010,12,12,0
56734,1790,1305,12.0,0.85,1352,25,410,9,0.85,0,2011,1,13,4
19578,676,1609,6.0,6.75,23,18,155,11,6.75,2,2010,12,8,3
66213,2014,1256,4.0,1.65,1141,25,1047,7,1.65,1,2011,1,21,5
20305,721,547,2.0,3.75,865,25,1909,13,3.75,2,2010,12,9,4
57475,1816,1581,12.0,1.95,1246,25,1362,7,1.95,0,2011,1,14,5
25930,866,113,1.0,2.95,1311,25,2191,7,2.95,1,2010,12,12,0
71919,2189,1413,2.0,8.5,1261,25,398,7,8.5,0,2011,1,26,3
29356,2622,938,-8.0,3.75,1258,25,1621,7,3.75,1,2010,12,14,2
25395,851,579,1.0,4.95,735,25,1729,11,4.95,2,2010,12,12,0
935,57,2407,6.0,2.95,964,25,1022,13,2.95,2,2010,12,1,3
37717,1287,1523,2.0,3.75,993,25,769,7,3.75,0,2010,12,19,0
73155,2228,587,6.0,2.55,51,22,625,7,2.55,1,2011,1,27,4
32657,1126,1886,6.0,2.55,989,25,2058,7,2.55,0,2010,12,16,4
63699,1960,948,48.0,0.85,810,25,1256,7,0.85,1,2011,1,19,3
67604,2041,572,1.0,2.95,634,25,571,7,2.95,1,2011,1,23,0
72775,2216,1356,7.0,0.85,822,25,989,7,0.85,0,2011,1,26,3
64671,1980,672,4.0,0.85,743,25,61,7,0.85,1,2011,1,20,4
73783,2248,2455,16.0,0.42,563,25,246,7,0.42,0,2011,1,27,4
54478,1732,341,2.0,1.25,523,25,1725,11,1.25,1,2011,1,12,3
37279,1270,2542,1.0,6.35,113,25,615,0,6.35,0,2010,12,17,5
77846,2396,2035,48.0,1.69,1200,25,1254,7,1.69,0,2011,2,1,2
57349,1813,354,12.0,1.69,419,25,1254,7,1.69,1,2011,1,14,5
44850,1474,1554,4.0,7.95,1219,25,2218,7,7.95,0,2011,1,5,3
20216,718,709,12.0,5.95,484,25,1073,7,5.95,2,2010,12,9,4
3991,185,1539,1.0,9.95,1058,25,741,7,9.95,2,2010,12,2,4
73535,2238,1560,12.0,1.25,551,25,874,7,1.25,0,2011,1,27,4
9548,384,1520,1.0,2.1,1177,25,1639,7,2.1,2,2010,12,5,0
